id,name,url,paper,license,license_url,redistributable,commercial_use,derivatives,modality,sex,donor_id,same_as_vhf,body_region,structures_count,ontology,format,resolution,download_size,access_restrictions,priority,notes
hra-female,HRA United Female v1.5,https://lod.humanatlas.io/ref-organ/united-female/v1.5,https://doi.org/10.48539/HBM352.BTSQ.586,CC-BY-4.0,https://humanatlas.io/3d-reference-library,true,true,true,reference assembly,female,multiple-or-unknown,false,whole body,,UBERON;FMA,GLB;CSV,,,public,4,Reference assembly; do not infer a single VHF donor from its name; verify per-node provenance
denver-vhf,Denver Visible Human Female 2022,https://digitalcommons.du.edu/visiblehuman/1/,https://doi.org/10.1038/s41597-022-01905-2,CC-BY-4.0,https://digitalcommons.du.edu/visiblehuman/1/,true,true,true,manual cryosection segmentation,female,VHF,true,pelvis to feet,128,,STL;NRRD;MHD;DICOM;XLSX,0.33 mm source sections,87.8 MB final STL; 56 KB metadata,public; Cloudflare JS challenge blocks plain HTTP clients (HTTP 403); fetched through a local Chrome session,1,"Imported: 128 final STL meshes (bones, muscles, cartilage, ligaments; sacrum and coccyx stored in the Left folder); final geometry is smoothed and overclosure-corrected; frame verified empirically as x right, y anterior, z superior in mm; source DOI 10.56902/COB.vh.2022.1; no fat geometry in the female final STL archive"
nlm-vhf-ct,"NLM Visible Human Female fresh CT, TotalSegmentator labels",https://data.lhncbc.nlm.nih.gov/public/Visible-Human/Female-Images/radiological/normalCT/,https://doi.org/10.1148/ryai.230024,NLM-Terms-and-Conditions,https://www.nlm.nih.gov/databases/download/terms_and_conditions.html,true,true,true,"automatic CT segmentation (TotalSegmentator total task, Apache-2.0)",female,VHF,true,"whole body (trunk, upper limb, head; femora and hip bones overlap Denver)",114 of 117 labels present,UBERON via reviewed crosswalk (110 labels),NIfTI label map -> binary viewer chunks,1.5 mm model on 0.94 x 0.94 x 1 mm CT,478 MB CT input; 12 MB gzip viewer geometry,"public; attribution ""Courtesy of the U.S. National Library of Medicine""; derived labels must state they do not come from NLM",2,"Derived here (scripts/build-nlm-vhf-volume.py, TotalSegmentator, scripts/register-nlm-ct.py, scripts/ingest-nlm-vhf.py). Same donor as Denver; placed in VHF-image-2022 by a rigid pelvis registration (rotation 2 deg, scale check 1.00, p95 about 4 mm). Masks are model output, not reviewed. Licensed TotalSegmentator subtasks (appendicular_bones) were not used."
bmftoolkit,Bone Mesh Female Toolkit v1.0,https://github.com/manishsreenivasa/BMFToolkit,https://arxiv.org/abs/1804.03655,Zlib (repository LICENSE; data scope unconfirmed),https://github.com/manishsreenivasa/BMFToolkit/blob/master/LICENSE,pending-author-confirmation,pending-author-confirmation,unknown,CT segmentation;reflection,female,VHF,true,lower body bones,63,,MAT;OBJ;STL,0.33 mm pixels and 1 mm slices,5.3 MB MAT,"public; LICENSE covers ""this software"" with no data carve-out; Zenodo record 889060 says other-open; authors not yet asked (request drafted in docs/LICENSING.md)",1,"Compared bone by bone with Denver in the VHF frame 2026-09-05 (generated/bmftoolkit-comparison.json): segmented right bones p95 median 1.7 mm, mirrored left 2.6 mm, sacrum (symmetrized) 15.6 mm. Not shipped."
vhf,NLM Visible Human Female,https://data.lhncbc.nlm.nih.gov/public/Visible-Human/Female-Images/index.html,,NLM-Terms-and-Conditions,https://www.nlm.nih.gov/databases/download/terms_and_conditions.html,true,true,true,cryosections;CT;MRI,female,VHF,true,whole body,,,image volumes,0.33 mm cryosections,478 MB fresh CT (1734 slices + headers) downloaded; cryosections not downloaded,"public; no licence or registration since July 2019; attribution ""Courtesy of the U.S. National Library of Medicine""; redistributed derivatives must say whether they reflect current NLM data",1,"Verified 2026-09-05: terms page and Female-Images README fetched (data/raw/nlm-vhf, SHA-256 manifest). Fresh CT assembled into one RAS volume (scripts/build-nlm-vhf-volume.py), segmented with TotalSegmentator (CPU) and registered rigidly to the Denver pelvis: rotation 2.1 deg, free scale 1.003, pelvis p95 4.5 mm (generated/nlm-ct-registration.json). Frozen CT and cryosections not used yet."
tcia,Healthy Total Body CTs segmentations January 2023,https://www.cancerimagingarchive.net/collection/healthy-total-body-cts/,https://doi.org/10.7937/NC7Z-4F76,CC-BY-4.0,https://www.cancerimagingarchive.net/collection/healthy-total-body-cts/,true,true,true,CT;automatic MOOSE segmentation,female,Healthy-Total-Body-CTs-003,false,whole body,36,,NIfTI,0.96484375 x 0.96484375 x 2.344 mm,3.8 MB subject 003,segmentation public; CT images not downloaded,3,Donor sex verified in clinical v02 20240927; 36 present labels; grouped anatomy; not manually reviewed
bodyparts3d,BodyParts3D 4.0 via human-atlas,https://dbarchive.biosciencedbc.jp/en/bodyparts3d/download.html,https://doi.org/10.1093/nar/gkn613,CC-BY-4.0,https://dbarchive.biosciencedbc.jp/en/bodyparts3d/lic.html,true,true,true,reference model,male,TARO,false,whole body,2234,FMA,OBJ;BIN;JSON,,,public,7,Male template only; verify exact bundled revision and preserve attribution
spider,SPIDER lumbar MRI,https://github.com/cdoswald/SPIDER,https://doi.org/10.1038/s41597-024-03090-w,CC-BY-4.0,https://zenodo.org/records/10159290,true,true,true,"sagittal T1/T2 MRI with vertebra, disc and canal masks",mixed,218 patients; sex per study in overview.csv,false,lumbar spine,,,MHA masks (58 MB) + images (3.7 GB),,,public (Zenodo); hidden test set not public,5,"Verified 2026-09-05: Zenodo record 10159290 licence cc-by-4.0 (challenge page states CC BY 4.0). Patient MRI, not a whole-body donor; candidate specialist overlay for lumbar vertebrae and discs once a female study is selected and its frame documented."
openear,OpenEar v2,https://zenodo.org/records/1473724,https://doi.org/10.1038/sdata.2018.297,CC-BY-4.0,https://zenodo.org/records/1473724,true,true,true,CT and micro-slicing of temporal bones with segmentations,unknown,eight temporal bone specimens; sex per specimen in the paper,false,temporal bone / ear,,,STL;volumes,,59.1 GB all files,public (Zenodo),6,"Verified 2026-09-05: Zenodo record 1473724 licence cc-by-4.0 (Sieber et al. 2019, Sci Data). Specimen sex and donor age must be read from the publication before import; no whole-body frame."
sparc,SPARC whole-body scaffold 307,https://discover.pennsieve.io/datasets/307,https://doi.org/10.26275/BBVG-GJ86,CC-BY-4.0 (most datasets; some CC BY-NC-SA),https://docs.sparc.science/docs/data-use-agreement,per-dataset,per-dataset,unknown,scaffold,reference,reference,false,whole body,,,,,,public via Pennsieve Discover API; licence field per dataset,6,"Verified 2026-09-05 through the Pennsieve Discover API: human scaffold datasets (vagus nerve 426, sciatic nerve 692) are Creative Commons Attribution; others are NC-SA. Generic scaffolds, not female donor geometry; low priority."
hipct,Human Organ Atlas HiP-CT,https://human-organ-atlas.esrf.eu,https://pmc.ncbi.nlm.nih.gov/articles/PMC12978218/,CC-BY-4.0,https://doi.org/10.15151/ESRF-DC-2439291467,true,true,true,phase contrast tomography,mixed,per dataset (e.g. VL-367-23); sex and age per donor record,false,individual organs,,,volume,20 um whole organ to 1 um local,,"public; portal blocks scripted clients (HTTP 403), DataCite metadata accessible; volumes are tens of GB per organ",6,Verified 2026-09-05: DataCite records for ESRF Human Organ Atlas datasets carry rightsIdentifier cc-by-4.0 with per-donor identifiers. Organ-level specialist overlay only; donor sex must be read per dataset before import.
teeth3ds,Teeth3DS+,https://crns-smartvision.github.io/teeth3ds/,https://arxiv.org/abs/2210.06094,CC-BY-NC-ND-4.0,https://github.com/abenhamadou/3DTeethSeg22_challenge#license,false,false,false,intraoral scan,unknown,unselected,false,dentition,,FDI,mesh;vertex labels,,,"NC-ND: no derivatives may be redistributed; excluded from every shipped target (open-clean, open-sharealike, research-full)",6,"Verified 2026-09-05: challenge README states CC BY-NC-ND 4.0 for the data (code MIT). Simplified or re-exported meshes are derivatives, so the dataset cannot be shipped. Patient sex is not published per scan."
z-anatomy,Z-Anatomy,https://github.com/Z-Anatomy/Models-of-human-anatomy,,CC-BY-SA-4.0,https://github.com/LluisV/Z-Anatomy/blob/PC-Version/LICENSE,true,true,true (share-alike),reference model,male,multiple-or-unknown,false,whole body,,FMA;TA,BLEND,,,public; share-alike excludes it from the open-clean target; models derive from BodyParts3D (male),7,Verified 2026-09-05: repository LICENSE CC BY-SA 4.0. Male template derived from BodyParts3D with edits; fallback only for the open-sharealike target after component audit; adds no female measured anatomy.
anatomytool,AnatomyTOOL Open3Dmodel,https://anatomytool.org/,,PER-ASSET,https://anatomytool.org/,unknown,unknown,unknown,reference model,unknown,unknown,false,whole body,,,,,,audit selected asset,8,"Candidate source; no assets incorporated; licence page audit 2026-09-05: per-asset terms, no bulk licence; not used"
cads,CADS,https://github.com/murong-xu/CADS/releases,,PER-MODEL,https://github.com/murong-xu/CADS,unknown,unknown,unknown,CT segmentation model,not-applicable,not-applicable,false,whole body,167,,weights,,,research weights may be NC or have additional terms,3,Derived geometry must track input scan and exact model release; not measured coverage by itself
