canonical_id,name,uberon,fma,ta2,system,laterality,scope
UBERON:0002097,skin of body,UBERON:0002097,,,integumentary,unspecified,direct-source-geometry
FMA:58070|left,Left interlobar adipose tissue of mammary gland,,FMA:58070,,integumentary,left,direct-source-geometry
UBERON:0011828,areolar tubercle,UBERON:0011828,,,integumentary,unspecified,direct-source-geometry
UBERON:0013772|left,left nipple,UBERON:0013772,,,integumentary,left,direct-source-geometry
FMA:223675|left,Left areola of female breast,,FMA:223675,,integumentary,left,direct-source-geometry
UBERON:0018140,mammary lobe,UBERON:0018140,,,integumentary,unspecified,direct-source-geometry
UBERON:0015134,main lactiferous duct,UBERON:0015134,,,integumentary,unspecified,direct-source-geometry
FMA:58088,Lactiferous sinus,,FMA:58088,,integumentary,unspecified,direct-source-geometry
UBERON:0012103|left,Left suspensory ligament of breast,UBERON:0012103,FMA:58040,,integumentary,left,direct-source-geometry
FMA:58070|right,Right interlobar adipose tissue of mammary gland,,FMA:58070,,integumentary,right,direct-source-geometry
UBERON:0013773|right,right nipple,UBERON:0013773,,,integumentary,right,direct-source-geometry
FMA:223675|right,Right areola of female breast,,FMA:223675,,integumentary,right,direct-source-geometry
UBERON:0012103|right,Right suspensory ligament of breast,UBERON:0012103,FMA:58040,,integumentary,right,direct-source-geometry
UBERON:0000966|right,Right retina,UBERON:0000966,FMA:58301,,sensory,right,direct-source-geometry
UBERON:0001786|right,Right fovea centralis,UBERON:0001786,FMA:58658,,sensory,right,direct-source-geometry
UBERON:0000053|right,Right macula lutea,UBERON:0000053,FMA:58637,,sensory,right,direct-source-geometry
UBERON:0001783|right,Right optic disc,UBERON:0001783,FMA:58634,,sensory,right,direct-source-geometry
FMA:59026|right,Right palpebral conjunctiva of upper eyelid,,FMA:59026,,sensory,right,direct-source-geometry
FMA:59027|right,Right palpebral conjunctiva of lower eyelid,,FMA:59027,,sensory,right,direct-source-geometry
UBERON:0001773|right,Right sclera,UBERON:0001773,FMA:58269,,sensory,right,direct-source-geometry
UBERON:0001776|right,Right optic choroid,UBERON:0001776,FMA:58298,,sensory,right,direct-source-geometry
UBERON:0010224|right,right pupil,UBERON:0010224,,,sensory,right,direct-source-geometry
UBERON:0010427,ciliary processes,UBERON:0010427,,,sensory,unspecified,direct-source-geometry
UBERON:0006762|right,Right suspensory ligament of lens,UBERON:0006762,FMA:58838,,sensory,right,direct-source-geometry
UBERON:0011221|right,Right ora serrata of retina,UBERON:0011221,FMA:58600,,sensory,right,direct-source-geometry
UBERON:0006761|right,Right corneo-scleral junction,UBERON:0006761,FMA:58342,,sensory,right,direct-source-geometry
UBERON:0000965|right,Right lens of camera-type eye,UBERON:0000965,FMA:58241,,sensory,right,direct-source-geometry
UBERON:0004029|right,Right canal of Schlemm,UBERON:0004029,FMA:51873,,sensory,right,direct-source-geometry
FMA:58820|right,Aqueous humor of right eyeball,,FMA:58820,,sensory,right,direct-source-geometry
UBERON:0001775|right,Right ciliary body,UBERON:0001775,FMA:58295,,sensory,right,direct-source-geometry
UBERON:0001605|right,Right ciliary muscle,UBERON:0001605,FMA:49151,,sensory,right,direct-source-geometry
UBERON:0005969,eye trabecular meshwork,UBERON:0005969,,,sensory,unspecified,direct-source-geometry
UBERON:0001769|right,Right iris,UBERON:0001769,FMA:58235,,sensory,right,direct-source-geometry
UBERON:0010306|right,Right bulbar conjunctiva,UBERON:0010306,FMA:59024,,sensory,right,direct-source-geometry
UBERON:0000964|right,Right cornea,UBERON:0000964,FMA:58238,,sensory,right,direct-source-geometry
FMA:261236|right,Humor of right vitreous body,,FMA:261236,,sensory,right,direct-source-geometry
UBERON:0000966|left,Left retina,UBERON:0000966,FMA:58301,,sensory,left,direct-source-geometry
UBERON:0001786|left,Left fovea centralis,UBERON:0001786,FMA:58658,,sensory,left,direct-source-geometry
UBERON:0000053|left,Left macula lutea,UBERON:0000053,FMA:58637,,sensory,left,direct-source-geometry
UBERON:0001783|left,Left optic disc,UBERON:0001783,FMA:58634,,sensory,left,direct-source-geometry
FMA:59026|left,Left palpebral conjunctiva of upper eyelid,,FMA:59026,,sensory,left,direct-source-geometry
FMA:59027|left,Left palpebral conjunctiva of lower eyelid,,FMA:59027,,sensory,left,direct-source-geometry
FMA:261238|left,Humor of left vitreous body,,FMA:261238,,sensory,left,direct-source-geometry
UBERON:0000964|left,Left cornea,UBERON:0000964,FMA:58238,,sensory,left,direct-source-geometry
UBERON:0010306|left,Left bulbar conjunctiva,UBERON:0010306,FMA:59024,,sensory,left,direct-source-geometry
UBERON:0001769|left,Left iris,UBERON:0001769,FMA:58235,,sensory,left,direct-source-geometry
UBERON:0001775|left,Left ciliary body,UBERON:0001775,FMA:58295,,sensory,left,direct-source-geometry
UBERON:0001605|left,Left ciliary muscle,UBERON:0001605,FMA:49151,,sensory,left,direct-source-geometry
FMA:58821|left,Aqueous humor of left eyeball,,FMA:58821,,sensory,left,direct-source-geometry
UBERON:0004029|left,Left canal of Schlemm,UBERON:0004029,FMA:51873,,sensory,left,direct-source-geometry
UBERON:0000965|left,Left lens of camera-type eye,UBERON:0000965,FMA:58241,,sensory,left,direct-source-geometry
UBERON:0006761|left,Left corneo-scleral junction,UBERON:0006761,FMA:58342,,sensory,left,direct-source-geometry
UBERON:0011221|left,Left ora serrata of retina,UBERON:0011221,FMA:58600,,sensory,left,direct-source-geometry
UBERON:0006762|left,Left suspensory ligament of lens,UBERON:0006762,FMA:58838,,sensory,left,direct-source-geometry
UBERON:0010223|left,left pupil,UBERON:0010223,,,sensory,left,direct-source-geometry
UBERON:0001776|left,Left optic choroid,UBERON:0001776,FMA:58298,,sensory,left,direct-source-geometry
UBERON:0001773|left,Left sclera,UBERON:0001773,FMA:58269,,sensory,left,direct-source-geometry
UBERON:0002363,dura mater,UBERON:0002363,,,sensory,unspecified,direct-source-geometry
UBERON:0000941|right,Right cranial nerve II,UBERON:0000941,FMA:50863,,sensory,right,direct-source-geometry
